Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price
Acer,3.289930572,16,1000,13.70069916,4.285027629,32339.84211
Dell,3.147309855,8,1000,16.8626254,3.521247272,31954.9501
Acer,1.567739981,16,256,11.61872817,3.913705624,9437.652448
Acer,2.054930405,4,512,14.28670817,4.955523665,16879.49194
Dell,2.077686991,32,512,16.87374504,4.304016306,18371.75255
Dell,3.179731859,8,512,14.33297254,3.303084494,16959.08793
Dell,1.549276344,16,1000,12.13889182,3.339325765,31849.94958
Dell,1.760271455,4,512,14.49309938,3.856316231,16691.85388
Asus,3.499790213,4,256,12.22664344,3.996095625,9454.453849
Lenovo,1.946361655,32,256,14.11822558,3.502132778,10327.84384
Lenovo,3.13186527,16,1000,11.44425331,3.934583668,31996.36022
Dell,2.095456953,8,1000,14.63289602,2.070597483,31624.84327
Lenovo,1.748603482,32,512,14.10073963,3.288868592,18295.11865
Lenovo,2.107930477,8,1000,15.44096821,2.836814228,31362.16189
Dell,3.30566733,4,256,14.78420283,2.387523336,9107.981058
Lenovo,3.63924117,8,512,14.29763761,2.298639538,17146.71361
Acer,3.575549661,8,256,15.1386731,3.809576497,9491.272215
HP,2.492958824,32,512,11.86365148,3.570801641,17807.04022
HP,3.170212841,8,1000,14.57215797,2.760752351,32097.51726
Dell,2.012460739,32,512,12.03266362,3.412850176,18042.9556
Asus,2.232869326,4,512,16.55313325,3.476696946,16746.84866
Dell,3.740839546,32,256,11.41000463,2.585026941,11055.04524
Asus,1.532504809,32,256,13.5822485,3.956279186,10462.14184
HP,1.713771327,16,512,15.17478487,4.342758069,17155.73801
Dell,2.019715638,8,1000,13.74813327,4.374390623,31568.08346
Acer,1.56633051,4,1000,11.55257152,3.807409492,31197.89601
Lenovo,1.953588588,32,256,14.3202741,3.534915748,10711.44421
Asus,2.957603902,4,1000,14.84979145,2.183021429,31533.20155
Lenovo,2.553561376,16,256,15.22275387,2.863493897,9478.120505
Lenovo,3.731679278,8,1000,13.23955889,2.27981434,31512.88407
Dell,3.543608904,32,512,14.38195983,4.891469483,18702.47855
Lenovo,2.354543379,8,256,13.70411885,2.405240439,9143.215709
Acer,2.148558584,16,256,15.03233623,2.45532623,9819.84751
Lenovo,2.44923102,16,512,14.5013418,4.668729855,17407.53843
Dell,2.975737356,4,256,14.15453732,4.83178485,9126.589412
Acer,2.170159102,32,1000,12.4971462,4.297487118,32689.03039
HP,3.06037227,4,1000,11.01211111,2.016214771,31828.8301
Lenovo,2.52352913,16,256,12.04449005,2.004038813,9415.942553
Dell,2.880117952,8,1000,11.70239625,3.134302309,31601.43745
HP,2.590316323,4,256,13.69450847,2.43018611,9328.964725
HP,2.236164399,4,512,14.6735489,2.055158426,16523.52327
Asus,3.871133267,8,256,12.27851005,3.392200068,9829.331415
Acer,3.409014485,4,512,16.63434258,4.829185692,17204.64783
Lenovo,1.850282939,8,1000,11.04009278,2.971458725,31515.50299
Dell,3.67116994,32,512,15.63380609,3.983422035,18366.44451
Asus,2.718577996,8,1000,14.75122862,3.956706059,31416.85988
Acer,3.736380567,32,256,13.24132881,2.753240311,10905.97947
Asus,3.49963814,8,1000,11.30293367,3.951275746,32336.20253
Acer,2.563033761,16,256,14.76491943,2.637001923,9790.713629
Acer,1.556173271,16,256,13.31368108,2.366022241,9168.638971
Lenovo,2.171693398,32,512,16.61760284,4.104149857,18277.15254
Acer,2.854085537,32,512,14.25194045,2.340322451,18464.50529
Asus,3.08369555,16,512,16.63790907,4.990727656,17376.01953
Acer,2.144719214,32,512,12.32290216,2.550357203,17980.79593
Lenovo,1.848390185,8,1000,15.35435546,3.782425588,31389.46524
Lenovo,3.587325592,8,1000,14.70349413,3.234123714,31772.92099
Asus,3.961005452,16,1000,15.43644938,2.379159267,32342.70586
HP,2.814225456,4,256,12.28800718,2.083531723,8995.589696
HP,1.929198215,8,1000,14.9899671,3.868196847,31299.78947
Acer,2.180768316,32,1000,13.98824236,4.420272691,32806.59086
Dell,1.545976691,4,1000,15.45694985,4.526046985,31236.54146
Acer,3.785747016,4,512,12.96226786,3.448140419,16954.665
Asus,1.794377707,8,1000,16.34034215,4.332366402,31558.99666
Asus,2.941291189,8,256,11.50580789,4.0185414,9054.15384
Asus,2.185138052,4,512,15.84313591,4.172763582,16824.80328
Asus,2.885445006,4,256,16.16791775,3.477797016,9162.531746
Asus,3.128550971,16,1000,15.90351387,3.900235221,32252.67601
Lenovo,3.574354509,32,512,14.07635837,4.416577741,18492.16211
HP,2.016053179,16,256,13.63030988,3.193652527,9850.110564
Asus,1.527489572,8,1000,16.97757372,4.417936703,31521.46091
Dell,1.842214075,16,256,12.37503171,3.776050528,9771.52671
Dell,3.750046605,16,256,14.2812558,2.497703073,9926.274778
Dell,3.684725194,16,256,15.02405315,2.074052472,9941.850074
Dell,2.993532755,16,1000,15.20520582,3.088260801,32153.74242
Lenovo,3.001292151,32,1000,12.22414799,3.640088985,33063.16548
Dell,3.162591686,32,256,14.92396455,4.519461057,10791.99483
Asus,1.938428197,4,512,15.9102174,2.38245704,16769.07979
Acer,3.786029865,8,512,11.30011146,4.400619043,16953.65494
Dell,2.546926312,16,1000,16.46912776,4.589027138,32215.48938
Lenovo,2.457846321,4,1000,11.17702433,2.452062461,31218.3082
Lenovo,2.797294263,4,1000,13.13582619,4.554782958,31293.44807
Dell,1.617414917,4,1000,11.09487918,4.974360704,30967.93994
Acer,1.915708422,32,1000,11.46287101,4.180516493,32653.9602
Dell,3.345084041,16,512,16.46700971,4.354309045,17857.15877
Lenovo,1.70699667,16,1000,13.12916498,4.983245803,31661.07807
HP,3.007880274,8,256,13.54862918,3.816443752,9750.099392
Asus,2.113372774,16,256,12.29206629,2.923659146,9801.241334
Lenovo,2.473239035,16,512,14.58257462,4.512592502,17108.25296
Dell,2.221734342,4,256,14.56881929,3.843457333,9000.733644
Asus,2.389181791,8,512,13.23320235,3.743586271,16757.01449
Dell,3.297614763,16,512,12.99820923,2.760906667,17684.86916
Dell,2.242804289,32,256,16.30978585,4.269002809,10314.43388
HP,2.916011601,16,1000,13.29970544,2.245001828,31802.52252
Asus,2.690126005,4,256,13.96100595,4.772861212,9084.371553
Asus,3.159177913,32,256,12.69982857,2.977470382,10869.93627
HP,3.842074348,4,512,15.72061702,2.383323958,17080.49073
Lenovo,3.331430243,16,256,13.38468894,3.327099599,9960.397604
Dell,2.037350946,32,512,14.08166628,2.127409728,18215.27564
Acer,1.577957838,8,1000,12.52014302,4.053878583,31123.00052
Dell,2.155660111,8,1000,16.92595755,4.708116531,31442.69518
Dell,2.987694827,32,1000,12.74897445,4.511789021,32908.6934
Lenovo,1.628564534,32,256,15.62445519,2.38210842,10282.90993
Dell,2.740915618,4,512,13.5649739,2.378813411,17196.58538
HP,2.992107122,32,1000,12.23730443,4.440303447,32653.1
HP,2.335609727,4,512,15.79831258,4.772762824,16613.50855
Asus,3.427280509,16,512,13.00164073,3.38200949,17629.77767
Acer,1.766495633,4,1000,16.19116008,3.496913351,31216.57453
Dell,1.687844454,32,1000,16.49154311,2.954786124,32159.48537
Dell,3.320471891,32,512,16.15894301,4.682795355,18787.38153
Lenovo,2.738728291,16,1000,11.21004749,3.934708716,31817.73844
HP,3.221005991,32,512,15.72424007,2.864754732,18502.217
Acer,2.587068347,32,512,13.4680368,2.896348613,17967.13268
Asus,2.116005083,8,1000,16.24233752,4.673600219,31428.70478
HP,3.547755794,8,256,14.82772558,2.040902072,9241.110049
Asus,3.498539697,16,1000,16.0018588,2.968179718,32141.82464
Lenovo,3.236741177,4,256,13.99659062,3.663070044,9141.792984
Lenovo,2.180362843,8,512,14.21015303,2.444652386,16929.31597
Dell,2.975576667,4,512,11.86632579,2.276296263,16795.16512
Acer,2.402434742,32,256,15.70392415,4.445828993,10241.80318
Asus,1.728955183,8,512,13.51633767,4.683213166,16724.50569
HP,3.793283939,16,256,14.00048071,4.470819262,10263.36034
Lenovo,1.842046577,16,256,15.71058628,4.696363669,9881.335514
Dell,3.875593385,16,512,14.5930724,3.659335913,17781.52417
Dell,2.615014432,8,256,12.20659236,4.436774363,9435.386839
Asus,1.962832322,4,1000,14.54139595,3.152127915,31764.03766
Lenovo,2.854752368,32,1000,13.44579715,3.998803584,33014.12791
Acer,3.68236459,4,512,13.81715325,4.966506594,17151.98889
Lenovo,3.330562216,4,512,11.16986765,2.677183172,16609.82136
Asus,3.51640287,32,256,12.2601761,3.169699239,10474.26099
Asus,3.146958417,32,256,12.68622849,3.440142132,10622.17677
Lenovo,3.230691411,8,256,15.27776005,2.414046461,9346.064574
Asus,3.622989129,8,256,11.06895484,2.243115831,9303.954707
Lenovo,2.124170022,8,1000,13.45266357,4.489168599,31372.50378
HP,2.723562409,8,1000,16.54416122,4.930383118,31441.57775
Lenovo,2.053023605,8,512,11.6712837,3.214175191,16713.61175
Lenovo,3.96917002,32,256,14.09854633,2.262949509,10901.06255
Asus,3.860148349,4,256,15.71913429,2.197435282,9803.702788
Asus,1.598567028,8,512,16.65518785,4.673954619,17025.47405
Dell,3.263937931,8,256,15.48065984,3.391442749,9635.717453
Dell,3.813120794,4,256,15.32339329,2.96008195,9094.784528
HP,1.951438363,8,256,15.95892854,3.429383814,9279.031746
Dell,2.919863076,4,256,13.67720733,2.954912284,9194.575658
Lenovo,3.788720744,4,256,15.8350672,3.467107326,9477.922639
Asus,1.584864946,32,512,11.04778643,4.578669191,17880.00453
Dell,3.243550668,16,256,16.54736633,3.776904113,10254.30377
Dell,2.243372518,32,512,13.65983906,4.083961318,18151.58677
HP,3.810990488,16,256,14.32028113,3.094012029,10027.70827
HP,3.927645613,16,1000,12.52929349,4.215517636,31901.47177
Lenovo,3.860666223,16,1000,15.455185,3.999851255,32319.9033
Asus,2.685535542,8,1000,11.45981484,2.358685993,31872.56842
HP,3.655106627,32,1000,16.23581482,3.717928559,33229.67346
Dell,3.611373496,16,512,15.96870097,2.770230489,17242.82823
Asus,2.297751183,4,512,12.2963607,4.412287009,16631.41957
Asus,3.572288685,8,256,15.85594639,3.277813125,9925.178427
Dell,1.592519087,32,1000,15.7181464,4.984052496,32652.89808
HP,2.990674696,16,512,14.79329959,2.277501314,17595.70911
Dell,2.075022093,4,256,13.24112106,4.341043588,9340.218261
Asus,1.801417214,32,256,12.62899253,4.021105201,10321.72941
Acer,1.692383004,32,512,12.39070154,4.302496492,18161.47164
Acer,3.24072194,8,1000,12.91165378,2.922589386,31859.43075
Lenovo,2.349687409,32,256,16.42135066,3.476163468,10668.63263
Dell,3.311916929,8,1000,11.46584466,4.389525559,31823.64815
Dell,1.663390852,16,1000,15.97322766,2.697623995,31815.64051
Lenovo,2.288225845,8,1000,13.09334045,2.67809959,31503.17147
Lenovo,2.848728231,4,256,14.12959638,3.65315286,9024.890809
Lenovo,3.476807912,8,1000,15.7669138,3.570690739,31547.05113
Asus,2.296881257,4,256,16.30625928,2.846787411,9385.939545
Dell,3.064728441,8,1000,13.06868852,2.894226952,31747.39378
Asus,3.714944371,32,256,13.77106089,2.83353549,11008.90677
Lenovo,3.03965797,16,1000,13.48709639,4.314536186,32447.60269
Dell,2.082398687,4,512,11.0795062,3.955702597,16669.19633
Asus,1.561001954,8,1000,12.77565733,4.49725155,31160.0432
Asus,3.675247185,8,1000,13.7551354,4.926419085,31821.65032
Lenovo,1.553173527,8,256,13.46656165,3.422492889,8991.512288
Dell,3.686754182,32,256,15.33157537,2.200081644,10405.95144
Lenovo,2.822342835,32,1000,13.3088217,2.144276931,32808.85645
Dell,3.847669246,4,512,13.93625869,2.886995118,17065.08163
Acer,3.496958089,4,512,13.57765155,4.797633768,16854.30343
HP,3.994835276,32,256,15.44375689,3.569639165,10697.83678
HP,2.376779539,4,512,16.17783439,2.815359548,16575.25184
HP,3.417970722,16,1000,14.19133447,3.197500384,32274.63026
Lenovo,2.504827284,16,256,15.73659317,3.795785322,10131.59332
Acer,2.699689051,32,1000,12.78072009,3.958848974,33111.6885
Dell,3.068763658,4,256,14.24821766,2.461758529,9384.824877
Asus,3.684192785,8,256,13.07137972,4.93109503,9664.037025
Dell,3.960208673,16,256,13.48520555,3.634316681,9978.87405
Asus,3.420683535,32,256,15.39448319,2.407064953,10387.05309
Dell,2.544416955,4,512,16.28997489,4.68090576,16773.98749
Acer,2.553392506,32,1000,11.72897235,2.223915293,32629.16326
Asus,3.343955754,8,1000,14.80783554,4.7232063,31848.65515
Lenovo,2.096942864,16,1000,14.49286285,4.989696969,32205.9918
Dell,1.776185283,32,256,11.71049024,4.101295397,10723.11583
Dell,2.386555394,32,512,12.27136598,4.311341663,18152.54919
Asus,2.218097479,32,1000,12.86601497,3.011908509,32437.38944
Lenovo,2.240770301,8,512,12.00158642,4.824730558,16912.47369
Lenovo,2.084019378,32,256,12.4623769,3.589141898,10428.13123
Acer,1.605232974,8,1000,12.60560479,4.19716534,31566.95581
Lenovo,1.544684837,8,512,13.014043,4.772323148,16777.65549
Lenovo,3.969305974,8,256,15.49634272,4.925539928,9647.836305
Lenovo,2.569432834,16,512,14.43147322,4.49961307,17291.10775
HP,2.460816618,16,1000,16.91748003,2.909052521,32039.042
Acer,3.199118207,32,1000,13.48841496,4.89964255,33063.242
Dell,2.04563472,32,256,15.52319044,3.884358594,10059.05042
Asus,3.87490296,16,256,16.22881053,4.791927429,9968.179815
Dell,3.465862536,4,256,15.07387096,4.028315077,9471.946769
Acer,1.723527506,16,512,13.47118844,2.921716886,17573.05789
Asus,2.543951939,8,512,15.52156778,3.110073572,16968.45372
Acer,3.697795769,16,512,12.22200283,3.651415331,17844.55901
Lenovo,3.861830056,8,256,12.96531299,4.370044525,9905.976595
Asus,2.668503778,32,1000,14.28011153,2.953947654,32812.68703
Lenovo,3.033528473,4,1000,14.45245632,3.739193498,31446.72118
Dell,1.917584865,32,512,11.13284885,3.036874981,17999.39031
Dell,3.977921565,8,512,16.67068513,4.447308214,17328.13458
Asus,2.079179253,8,1000,15.17976363,3.400184281,31803.59381
Asus,3.856829435,8,1000,13.9742225,2.230168481,31773.80362
Acer,3.124116622,4,512,16.59876341,2.498157564,17299.4301
Acer,3.019341987,16,512,13.63457339,2.183314003,17354.57521
Lenovo,2.781721278,32,1000,16.88261342,3.497908838,32706.13245
Asus,2.076674529,32,256,14.07370854,2.319011892,10558.3744
Dell,1.94132008,16,512,11.68571462,2.342419908,17504.6662
Acer,2.051215523,32,1000,15.58880583,4.82314478,32809.51887
Acer,1.966095655,4,1000,15.07338635,4.617965217,31435.52409
Dell,3.448961184,32,1000,15.63792033,3.35625979,33459.84749
Acer,2.375313148,8,1000,16.70865217,4.957415963,31908.59207
Lenovo,1.644606691,16,256,15.65893582,2.000559585,9608.279542
Asus,3.922756575,4,1000,14.66801961,3.841938369,31653.26295
Dell,3.709464712,16,512,16.14385341,3.849284532,17905.28894
Asus,3.819380708,4,256,15.03947864,3.372329168,9576.799205
Acer,3.987269557,8,1000,13.44871434,3.190843919,32018.2351
Acer,1.934738123,16,256,16.31371859,3.366149406,9594.157765
Dell,2.490605047,32,512,12.33140276,3.244881308,18157.02232
Lenovo,3.395596189,4,1000,15.28784765,4.191477432,31613.4575
HP,3.240051545,16,512,16.28938073,2.406066305,17547.6635
Dell,1.884739766,32,1000,15.38789912,2.592917662,32638.54713
HP,3.539582812,16,1000,15.18365251,2.541554685,32339.21379
HP,2.06110143,16,1000,15.51582976,2.787411755,31865.3997
Lenovo,2.059544037,16,1000,13.79033149,3.575775256,31987.43352
HP,2.842436057,4,1000,16.24502409,2.333626242,31150.07678
HP,2.982349837,32,256,12.22061885,4.604507886,10454.86243
Lenovo,2.95021552,8,1000,11.7643185,2.892084594,31916.07447
HP,1.728717093,4,1000,12.71305268,2.487613962,31095.04249
HP,3.693652157,4,256,14.18946438,4.026863929,9480.671472
HP,2.164000106,4,256,14.06337077,2.114258902,8909.468098
Dell,1.823787303,8,256,15.92359255,3.859905695,9379.787386
Dell,3.7218702,32,256,13.42741194,4.094595292,10692.55454
Dell,3.889128746,32,256,13.90606656,2.644749594,10742.17026
Lenovo,3.655319043,32,256,11.0802061,2.12589222,10722.2793
Acer,3.523790187,16,1000,13.45843542,3.090936077,31974.33199
HP,3.138104952,16,1000,14.8866454,2.295782691,32396.81424
HP,2.877143427,16,512,11.09304998,2.349433549,17694.48204
Lenovo,1.7174669,8,1000,12.68529179,2.762783694,31397.56508
HP,2.521133033,16,1000,12.24773816,2.886403774,32125.15817
Dell,2.431721293,8,256,11.25191257,3.589911023,9411.265536
Acer,2.149384459,32,256,13.87556054,4.035175657,10428.78484
Asus,3.308550284,16,1000,12.09033976,3.778312823,31944.08429
HP,2.739689338,16,512,15.45848924,2.445081012,17811.47327
Dell,1.70261554,4,256,16.0875673,2.516258097,8938.607532
Asus,2.050458005,8,1000,14.2735111,4.636307749,31427.37179
Acer,3.208146909,32,1000,16.89024406,3.675056945,33370.44208
Asus,1.690327149,4,512,13.70287143,4.609813499,16748.03648
Dell,3.628017285,4,512,14.08020926,3.114639534,17087.54726
Asus,2.737866318,32,256,16.93530652,3.843200022,10433.69526
Lenovo,2.701466443,4,512,12.38929062,3.570990248,16972.93001
Asus,2.981019462,8,1000,16.65527564,2.957370469,32379.03942
HP,3.561702415,8,1000,11.25702533,3.409746116,31979.48506
HP,2.36952302,16,512,13.67832134,3.50747263,17471.614
Lenovo,3.195040381,4,512,11.42002107,2.602312924,17045.60393
Dell,2.91432991,16,512,15.37540846,2.945031117,17455.30077
HP,2.167570675,4,512,14.65045362,4.374229252,16675.25077
Acer,3.696574966,8,256,15.23980558,4.747364718,9506.548361
HP,3.493565054,8,512,13.2468824,3.079382281,17077.86684
HP,3.146129587,8,256,13.2168916,2.920916847,9373.865608
Dell,3.626454323,4,1000,11.27191567,2.585591494,31553.45182
Asus,3.668235502,8,512,13.09966964,4.035473506,17166.34886
HP,3.270907442,4,256,16.57573041,2.969299105,9281.467499
Lenovo,3.592533321,16,512,13.27535922,4.963248617,17642.98373
Asus,3.243678654,4,1000,15.98820624,2.977054406,31654.48792
Acer,3.200351929,16,1000,16.05395303,3.18240814,32262.79786
Dell,3.046528446,4,1000,13.23944694,3.810002589,31840.45411
Acer,3.381791599,16,512,14.79193208,4.40505288,17603.49328
Asus,1.896512763,8,512,11.57222961,3.408555996,17278.83978
Asus,3.702176898,16,256,11.62207148,3.267968101,9990.735036
Asus,3.679608819,8,1000,11.29194598,4.986913501,31722.43963
Acer,1.573118208,8,512,14.48609056,2.031480923,17113.94729
Asus,3.564541876,16,1000,13.55642587,4.685195867,32221.27948
Acer,1.822174669,4,1000,14.28819414,2.447422478,30846.98776
Asus,2.337797136,4,256,14.12643914,4.357775829,9085.709823
Lenovo,3.358770641,32,256,13.10121795,3.85379468,10625.40537
Asus,1.90189974,4,256,15.06484049,3.025541856,9352.730816
Acer,3.54491756,32,256,15.55101129,4.621624867,10574.27415
HP,3.580335445,4,1000,11.08776955,2.038721684,31550.9043
Asus,2.768669334,4,256,12.2434538,2.680071956,9405.330099
HP,1.515964679,8,256,15.27941521,3.700678389,9230.656163
Lenovo,2.217595333,32,256,13.31972104,3.05462678,10425.07585
Dell,3.042317296,4,256,14.97490368,3.831132486,9098.353075
Lenovo,3.952965445,32,1000,13.08177596,2.07233058,33201.85445
Asus,3.079533818,8,256,13.34453091,2.349376791,9433.443385
HP,2.149508953,8,1000,11.95207324,2.381288721,31391.56452
HP,3.085014258,32,512,12.54938612,2.567850938,18159.14276
Acer,2.849963449,8,1000,14.63247055,3.377994322,31565.96773
HP,3.449613488,16,1000,13.59897867,4.256386099,32020.82729
Acer,1.767451597,16,256,15.6458161,4.716616514,9786.047228
Dell,3.402569756,8,512,16.11550973,4.506117591,17377.64164
Asus,2.853166447,16,512,14.24987851,2.590663615,17676.85911
Acer,3.90748001,4,512,15.54960375,3.323451657,17120.15347
Dell,2.354680415,32,512,12.84142708,2.598234793,18113.25652
HP,3.081554733,4,1000,13.48982729,2.79341545,31513.29692
HP,3.830070264,32,512,15.27666606,3.510640945,18700.66128
Dell,1.75627432,8,1000,13.31727196,2.204327074,31131.52747
HP,3.843071218,4,1000,14.53102961,2.654522989,31629.79239
Dell,3.219714306,8,1000,12.11223667,4.806134484,31560.65712
Acer,1.669592648,8,512,14.59862789,3.398348878,17123.88511
Acer,2.252408917,32,256,16.16908224,3.336159578,10425.01033
Dell,3.270430222,32,256,16.21183784,2.043701464,10410.68802
Acer,1.668376504,32,512,15.34606644,2.742199241,18117.85937
Acer,2.95542615,4,256,15.47452027,4.598877308,9160.564024
Acer,2.364707642,16,256,14.34756467,2.493885285,9603.568208
Lenovo,3.052288794,32,1000,14.50800854,3.245374819,32836.15779
Asus,1.614355085,32,1000,11.80190349,2.042992718,32498.5822
HP,3.678842015,4,512,13.66315513,3.435006445,17176.3935
Lenovo,3.933722423,32,512,13.7046577,2.06306332,18544.96448
Acer,3.922194638,4,256,16.75098701,4.458828659,9415.27723
Dell,3.374129579,8,1000,13.58652118,4.474561302,31582.16295
Acer,1.8252156,32,512,14.29605587,4.363226565,18033.55331
Asus,3.39565799,32,512,14.1995084,2.850092207,18446.74642
Acer,1.561467291,8,512,14.8205703,4.511711655,16883.31864
Dell,1.555308879,8,512,15.48939699,3.628994398,16876.73665
Asus,2.309025548,8,512,12.35025126,3.121424327,16753.07736
Acer,2.721607976,32,512,14.17234651,3.875989879,17768.37331
Asus,3.426018545,16,256,15.95550624,2.037023138,10323.86735
HP,3.208238442,16,1000,13.77868828,2.428882633,31931.00525
HP,2.614756766,16,1000,12.67074528,4.226880615,31641.10586
Acer,2.184066666,32,512,14.92825445,2.732484826,18194.1567
Asus,3.99281125,8,1000,15.94260437,3.794027352,31637.77036
Dell,2.565453256,32,1000,11.37884176,3.155307808,32648.15466
Acer,2.628467561,8,1000,15.6607429,4.564417336,31803.03428
HP,1.909059553,32,512,15.9298876,4.857245918,18466.37466
HP,3.487023872,32,512,13.76913757,4.650694185,18463.78295
Acer,3.234205564,8,1000,16.89983394,2.811859984,31768.88734
Asus,2.051924032,16,1000,15.72025004,2.582488607,31988.68101
HP,1.705952614,8,512,15.64197539,3.423304681,16518.07979
Asus,3.201248255,4,256,15.48703145,2.022002453,9219.619834
HP,3.136278036,4,1000,11.90364862,2.077428179,31454.59798
HP,2.183148817,8,256,12.30338532,3.659871919,9256.764483
Lenovo,3.877158906,32,1000,13.78394079,3.561348212,33503.93504
HP,1.877644729,4,256,12.5840261,4.983745967,8570.01295
Dell,2.580837003,4,256,13.49144583,2.605525506,9058.40554
